Is_Persistently_Absent,Is_Severely_Absent,Percentage_Unauthorised_Absence,sum_exclusion_days,sum_achievement_points,sum_behaviour_points,distinct_incident_count,Pupil_Premium_Indicator,SEN_Status,Current_NC_Year,Gender,Is_CS_Incident
1,0,0.0319,0.0,171,127,119,1,1,8,1,0
1,0,0.0133,1.0,0,23,13,0,0,10,0,0
1,0,0.0428,1.0,460,69,15,0,1,10,1,1
0,0,0.0,0.0,413,0,2,0,0,10,0,0
0,0,0.0505,0.0,0,6,18,1,1,9,0,1
0,0,0.0107,0.0,183,14,13,1,0,11,1,1
0,0,0.0,0.0,710,1,0,0,0,9,0,0
0,0,0.0,0.0,589,0,5,0,0,8,0,0
0,0,0.016,0.0,725,1,1,0,0,9,1,0
0,0,0.0,0.0,0,0,0,0,0,10,0,0
0,0,0.0053,0.0,0,6,14,1,0,11,0,0
0,0,0.0053,0.0,284,0,19,0,0,8,0,0
0,0,0.0,0.0,818,0,0,0,0,9,0,0
0,0,0.0,0.0,213,0,1,0,0,8,1,0
0,0,0.0,0.0,0,0,18,0,0,9,0,1
0,0,0.0,0.0,673,0,0,0,0,9,1,0
0,0,0.0,0.0,604,1,2,0,0,9,0,0
0,0,0.0,0.0,0,8,2,1,0,10,0,0
0,0,0.0053,0.0,221,1,5,0,0,8,1,0
1,0,0.0055,0.0,2,39,19,0,0,13,1,1
1,0,0.1011,0.0,0,10,23,0,0,10,0,0
0,0,0.0053,0.0,0,8,1,0,0,8,0,0
1,0,0.1551,0.0,529,42,10,0,0,10,0,0
0,0,0.0,0.0,0,11,1,0,0,9,0,0
0,0,0.0053,0.0,418,18,0,0,0,8,0,0
0,0,0.0,0.0,0,1,1,0,0,10,0,0
0,0,0.0,0.0,0,10,3,0,0,9,0,0
0,0,0.0053,0.0,390,0,0,1,0,9,0,0
0,0,0.0,0.0,0,4,4,0,0,10,0,0
1,0,0.0146,8.0,0,119,79,1,0,8,0,0
0,0,0.0027,0.0,477,0,2,0,0,9,0,0
1,0,0.123,0.0,398,14,5,1,1,11,0,1
0,0,0.0027,0.0,123,0,2,1,0,11,1,0
0,0,0.0,0.0,0,1,0,0,0,8,0,0
0,0,0.0106,0.0,0,1,6,0,0,10,0,0
1,1,0.4866,16.0,74,58,33,1,2,11,0,1
0,0,0.0401,0.0,354,22,24,1,0,10,0,1
0,0,0.0374,0.0,497,19,2,0,0,10,1,0
0,0,0.0107,10.0,503,155,34,0,1,10,1,1
0,0,0.0,0.0,0,0,34,0,0,9,0,0
0,0,0.0053,0.0,0,6,4,1,0,8,0,0
0,0,0.0638,0.0,0,0,0,0,0,9,0,0
1,0,0.1257,0.0,123,93,14,1,0,11,0,1
0,0,0.0374,0.0,393,14,3,0,0,11,0,0
1,0,0.0348,3.0,393,88,7,0,0,9,1,0
0,0,0.0107,0.0,316,65,44,1,1,9,1,1
0,0,0.0,0.0,541,0,3,0,0,10,1,0
0,0,0.0,0.0,467,0,0,0,0,8,0,0
0,0,0.0053,0.0,0,9,3,0,0,8,0,0
0,0,0.0027,0.0,390,0,1,1,0,8,0,0
0,0,0.0106,0.0,0,9,3,1,0,11,0,1
0,0,0.0,0.0,770,19,28,0,0,10,1,0
1,0,0.0642,4.5,518,57,114,1,0,11,1,1
0,0,0.0241,1.0,417,57,7,1,1,10,1,1
0,0,0.0,0.0,433,1,8,0,0,11,0,0
0,0,0.0,0.0,225,0,0,0,0,8,0,0
0,0,0.008,0.0,163,13,1,1,0,8,0,0
0,0,0.0,0.0,177,0,0,0,1,8,1,0
0,0,0.0,0.0,614,0,8,1,2,11,1,0
0,0,0.0417,0.0,0,0,4,0,0,8,0,0
0,0,0.0058,0.0,0,2,0,0,0,12,0,0
0,0,0.016,0.0,0,3,10,1,0,9,0,1
0,0,0.0133,2.0,233,15,4,1,0,8,0,0
1,0,0.2513,0.0,105,193,23,1,0,11,0,1
0,0,0.0,0.0,207,0,0,0,0,10,1,0
0,0,0.0294,0.0,170,70,13,0,0,11,1,1
0,0,0.0053,2.0,0,3,5,0,0,8,0,0
0,0,0.0,0.0,0,5,2,0,0,10,0,1
0,0,0.0135,0.0,22,68,28,0,0,12,0,0
0,0,0.0106,0.0,336,10,17,0,0,8,0,0
0,0,0.0,0.0,0,5,14,1,2,11,0,0
0,0,0.0,0.0,180,0,18,1,0,8,0,0
1,0,0.1022,7.5,258,519,20,1,0,10,1,1
1,0,0.0423,1.5,0,104,19,1,1,11,0,1
0,0,0.0,3.0,295,50,6,0,0,8,1,1
0,0,0.0,0.0,0,7,3,1,0,11,0,0
0,0,0.0266,0.0,0,24,9,1,1,9,0,0
0,0,0.0,0.0,257,0,0,0,0,8,0,0
0,0,0.0107,0.0,159,107,3,0,0,10,1,0
0,0,0.0,0.0,151,0,2,1,0,10,0,0
0,0,0.0802,0.0,249,23,5,1,0,10,0,1
0,0,0.016,0.0,0,0,1,1,0,9,0,0
0,0,0.0027,2.0,612,13,9,0,0,11,1,0
0,0,0.0,0.0,238,0,3,0,0,8,0,1
1,0,0.3449,7.5,221,329,60,1,1,10,0,1
0,0,0.0053,0.0,178,5,4,1,0,8,0,0
0,0,0.0,0.0,0,2,17,1,0,11,0,0
0,0,0.0,0.0,377,9,1,0,0,8,1,1
0,0,0.0108,0.0,650,28,3,0,0,9,1,0
0,0,0.0175,0.0,0,0,4,0,0,9,1,1
0,0,0.0526,0.0,0,8,0,0,0,8,0,0
0,0,0.0441,0.0,25,21,0,0,0,13,0,0
0,0,0.0,0.0,269,9,1,0,0,8,0,0
1,0,0.0749,23.5,323,132,28,1,0,11,1,1
0,0,0.0,0.0,143,10,0,0,0,12,0,0
0,0,0.0133,2.0,0,2,11,1,0,9,0,1
0,0,0.016,0.0,0,0,1,1,0,10,0,1
0,0,0.0,0.0,0,1,2,0,0,11,0,0
1,0,0.0079,1.0,0,35,29,1,0,8,0,0
0,0,0.0053,0.0,197,0,0,0,0,11,1,0
0,0,0.0107,0.0,438,12,13,1,1,9,0,1
0,0,0.0,0.0,192,9,0,0,0,10,1,0
0,0,0.0,0.0,151,0,0,0,0,8,0,0
0,0,0.0,0.0,625,0,1,0,1,9,0,1
0,0,0.0027,0.0,240,0,6,0,0,11,0,1
0,0,0.0219,0.0,13,45,8,0,0,13,1,1
0,0,0.0,0.0,0,1,33,1,1,11,0,1
0,0,0.0107,0.0,709,22,2,0,0,9,0,1
1,1,0.0,0.0,0,0,17,1,2,10,0,1
0,0,0.0027,0.0,45,0,0,0,0,13,0,0
0,0,0.0,0.0,0,5,6,1,0,8,0,0
0,0,0.0107,0.0,468,11,2,1,0,11,0,0
0,0,0.0,0.0,0,3,0,1,0,8,0,0
0,0,0.0132,0.0,0,7,14,1,0,11,0,1
0,0,0.0,0.0,0,2,0,0,0,10,0,0
0,0,0.0027,0.0,523,217,5,1,0,11,1,0
